ID;PUNTO DE MEDICION;ESTADO;FECHA;DIAF;MESF;ANOF;HORA;HORARIO;CAUDAL ACUMULADO ANTERIOR;CAUDAL ACUMULADO;LECTURA MES ANTERIOR;LECTURA REGISTRO;INSTRUMENTO
PEND;Salida Tanque Breña Mora  Tanque San Isidro;Operacion Correcta;1/6/22;1;6;2022;9:58:00 a. m.;AM;70.139,00;85.820,00;;14,57; MA 
SRM46;"Rebombeo T Sn Isidro  T Breña Mora (6"")";Macromedidor en mal estado;1/6/22;1;6;2022;10:01:00 a. m.;AM;13.386,00;13.386,00;  ;; MA 
SRM47;"Rebombeo T Breña Mora hacia el Norte 4""";Operacion Correcta;1/6/22;1;6;2022;9:59:00 a. m.;AM;20.430,00;21.069,00;1,25;5,1; MA 
SRM19;Entrada Chorreras I a Tanque San Isidro;Operacion Correcta;1/6/22;1;6;2022;10:15:00 a. m.;AM;2.262.314,00;10.798,00;13,64;10,98; MA 
SRM18;Entrada Chorreras II a Tanque San Isidro;Operacion Correcta;1/6/22;1;6;2022;10:15:00 a. m.;AM;1.182.015,00;1.243.436,00;7,22;22,64; MA 
SRM52;"Salida Tanque San Isidro Oeste 6""";Operacion Correcta;1/6/22;1;6;2022;10:13:00 a. m.;AM;1.365.317,00;1.395.798,00;15,6;15,66; MA 
SRM27;Salida Tanq San Isidro a San Francisco Bunt Planet;Operacion Correcta;1/6/22;1;6;2022;10:18:00 a. m.;AM;1.035.431,00;1.058.230,00;12,59;12,02; MA 
SRM29;Salida Pricipal Tanque San Isidro Bunt Planet;Operacion Correcta;1/6/22;1;6;2022;10:17:00 a. m.;AM;3.329.987,00;3.407.159,00;40,03;41,66; MA 
SIM17;Cementerio  Bunt Planet;Problema de energización;1/6/22;1;6;2022;8:10:00 a. m.;AM;774.361,51;789.819,43;8,01;8,1; MA 
SIM18;Mas x Menos Bunt Planet;Punto Sin Macromedidor;1/6/22;1;6;2022;8:10:00 a. m.;AM;1.179.649,60;1.207.406,20;16,28;14,59; MA 
